Experiment Number,file,limit,compressionType,stream,Experiment startTime,TotalBackupTime,TotaltransferTime,TotalMigrationTime,TotalValidationTime,TotalClearTime,sizeOnTargetMachine,sizeOnLocalMachine,compressionTime,dataTransferTime,readingFileTime,sumsizeOnTargetMachine,maxsizeOnTargetMachine,avgsizeOnTargetMachine,sumsizeOnLocalMachine,maxsizeOnLocalMachine,avgsizeOnLocalMachine,sumcompressionTime,maxcompressionTime,avgcompressionTime,sumdataTransferTime,maxdataTransferTime,avgdataTransferTime,sumreadingFileTime,maxreadingFileTime,avgreadingFileTime
1,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,998.4916923046112,0,0,4.76837158203125e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,487.788697719574,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,1267.4685907363892,0,0,4.76837158203125e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,354.55627274513245,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,1090.1534552574158,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,870.763959646225,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,1060.2750942707062,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,2214.6437537670135,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,2237.188121318817,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,882.8543379306793,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,1375.3638203144073,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
