Key=1-NO-3-sample->testdb-DEPARTMENT-1701980841.2460353, Value=type : info, Experiment : started, Timestamp : 1701980841.246089
Key=1-NO-3-sample->testdb-DEPARTMENT-1701980841.2460353, Value=type : info, Experiment : completed, Timestamp : 1701980874.7665946
Key=1-GZIP-3-sample->testdb-DEPARTMENT-1701980874.7666438, Value=type : info, Experiment : started, Timestamp : 1701980874.7666667
Key=1-GZIP-3-sample->testdb-DEPARTMENT-1701980874.7666438, Value=type : info, Experiment : completed, Timestamp : 1701980909.5433493
Key=1-LZ4-3-sample->testdb-DEPARTMENT-1701980909.543414, Value=type : info, Experiment : started, Timestamp : 1701980909.543437
Key=1-LZ4-3-sample->testdb-DEPARTMENT-1701980909.543414, Value=type : info, Experiment : completed, Timestamp : 1701980944.9571698
Key=1-NO-3-sample->testdb-DEPARTMENT-1701980841.2460353, Value=type : info, Experiment : started, Timestamp : 1701980841.246089
Key=1-NO-3-sample->testdb-DEPARTMENT-1701980841.2460353, Value=type : info, Experiment : completed, Timestamp : 1701980874.7665946
Key=1-GZIP-3-sample->testdb-DEPARTMENT-1701980874.7666438, Value=type : info, Experiment : started, Timestamp : 1701980874.7666667
Key=1-GZIP-3-sample->testdb-DEPARTMENT-1701980874.7666438, Value=type : info, Experiment : completed, Timestamp : 1701980909.5433493
Key=1-LZ4-3-sample->testdb-DEPARTMENT-1701980909.543414, Value=type : info, Experiment : started, Timestamp : 1701980909.543437
Key=1-LZ4-3-sample->testdb-DEPARTMENT-1701980909.543414, Value=type : info, Experiment : completed, Timestamp : 1701980944.9571698
Key=thisIdIsForTestPurposes, Value=type : info, Experiment : started, Timestamp : 1705376028.7688913
Key=thisIdIsForTestPurposes, Value=type : info, Experiment : completed, Timestamp : 1705376053.5117657
Key=thisIdIsForTestPurposes, Value=type : info, Experiment : started, Timestamp : 1705376053.5123706
Key=thisIdIsForTestPurposes, Value=type : info, Experiment : completed, Timestamp : 1705376080.31338
Key=thisIdIsForTestPurposes, Value=type : info, Experiment : started, Timestamp : 1705376080.313879
Key=thisIdIsForTestPurposes, Value=type : info, Experiment : completed, Timestamp : 1705376105.2774243
