Experiment Number,compress,maxStreams,sourceDatabasetoTargetDatabase,tables,Experiment startTime,logTime,logType,logLocation,logDescription
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,IBM db_migr -- log (2024-04-15 12:28:31.171965)
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Version - 1.0.0 (404b0de)
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.173,TRACE,<1074:MainThread> logger.py:81,Migration parameters
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Temporary directory:             /tmp/db_migr/db_migr-20240415_122831.167609
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Maximum # of insertion workers:  3
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,"Information format:              [USER, PASSW, DBNAME, PORT, SCHEMA]"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Source information:              db2inst1 ***** testdb 50000
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Target information:              db2inst1 ***** testdb 50000
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Source hosts:                    ['206.12.99.99']
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Target hosts:                    ['206.12.95.67']
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,Number of tables to transfer:    1
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,
