Key=1-NO-3-TESTDB=>TARGETDB-PART1-1703697967.3254213, Value=type : info, Experiment : started, Timestamp : 1703697967.3254626
Key=1-NO-3-TESTDB=>TARGETDB-PART1-1703697967.3254213, Value=type : info, Experiment : completed, Timestamp : 1703697991.0351045
Key=2-NO-3-TESTDB=>TARGETDB-PART1-1703697967.3254213, Value=type : info, Experiment : started, Timestamp : 1703697991.03521
Key=2-NO-3-TESTDB=>TARGETDB-PART1-1703697967.3254213, Value=type : info, Experiment : completed, Timestamp : 1703698016.8608937
Key=3-NO-3-TESTDB=>TARGETDB-PART1-1703697967.3254213, Value=type : info, Experiment : started, Timestamp : 1703698016.861018
Key=3-NO-3-TESTDB=>TARGETDB-PART1-1703697967.3254213, Value=type : info, Experiment : completed, Timestamp : 1703698050.916437
Key=1-GZIP-3-TESTDB=>TARGETDB-PART1-1703698050.9165666, Value=type : info, Experiment : started, Timestamp : 1703698050.9166055
Key=1-GZIP-3-TESTDB=>TARGETDB-PART1-1703698050.9165666, Value=type : info, Experiment : completed, Timestamp : 1703698075.1300673
Key=2-GZIP-3-TESTDB=>TARGETDB-PART1-1703698050.9165666, Value=type : info, Experiment : started, Timestamp : 1703698075.130165
Key=2-GZIP-3-TESTDB=>TARGETDB-PART1-1703698050.9165666, Value=type : info, Experiment : completed, Timestamp : 1703698100.3145795
Key=3-GZIP-3-TESTDB=>TARGETDB-PART1-1703698050.9165666, Value=type : info, Experiment : started, Timestamp : 1703698100.3147311
Key=3-GZIP-3-TESTDB=>TARGETDB-PART1-1703698050.9165666, Value=type : info, Experiment : completed, Timestamp : 1703698124.80204
