Experiment Number,file,limit,compressionType,streams,Experiment startTime,logType,operation,statusOfOperation,timestamp,streamNumber
1,Sample,SQL,File,50000rows.sql,104857,info,migration,started,1707477068.3384554,None
1,Sample,SQL,File,50000rows.sql,104857,info,ReadingFile,started,1707477069.2065518,None
1,Sample,SQL,File,50000rows.sql,104857,info,ReadingFile,completed,1707477069.2066917,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk1Transfer,started,1707477069.2067144,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk1Transfer,completed,1707477069.211055,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk2Transfer,started,1707477069.2112217,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk2Transfer,completed,1707477069.21403,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk3Transfer,started,1707477069.2141895,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk3Transfer,completed,1707477069.2170632,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk4Transfer,started,1707477069.217217,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk4Transfer,completed,1707477069.2217994,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk5Transfer,started,1707477069.2219253,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk5Transfer,completed,1707477069.2244225,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk6Transfer,started,1707477069.2245436,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk6Transfer,completed,1707477069.2270474,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk7Transfer,started,1707477069.2271771,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk7Transfer,completed,1707477069.2294915,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk8Transfer,started,1707477069.2295818,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk8Transfer,completed,1707477069.2318766,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk9Transfer,started,1707477069.2320096,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk9Transfer,completed,1707477069.23425,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk10Transfer,started,1707477069.2343593,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk10Transfer,completed,1707477069.2382998,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk11Transfer,started,1707477069.2384374,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk11Transfer,completed,1707477069.2408116,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk12Transfer,started,1707477069.2409232,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk12Transfer,completed,1707477069.2436855,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk13Transfer,started,1707477069.2437916,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk13Transfer,completed,1707477069.2460454,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk14Transfer,started,1707477069.2461922,None
1,Sample,SQL,File,50000rows.sql,104857,info,FileChunk14Transfer,completed,1707477069.2487254,None
