Experiment Number,file,stream,compressionType,limit,totalTransferTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
1,DS_003.csv,1,None,104857600,311.9829361438751,297.86734342575073,0,0.09547567367553711,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
2,DS_003.csv,1,None,104857600,206.98642015457153,199.27643513679504,0,0.09444189071655273,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
3,DS_003.csv,1,None,104857600,214.83599948883057,207.3546781539917,0,0.13265657424926758,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
average,DS_003.csv,1,None,104857600,244.60178526242572,234.8328189055125,0.0,0.10752471288045248,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
1,DS_003.csv,1,gzip,104857600,95.54177808761597,69.9327301979065,17.882009506225586,0.08671426773071289,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
2,DS_003.csv,1,gzip,104857600,94.2533667087555,69.48733878135681,17.913968086242676,0.0988929271697998,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
3,DS_003.csv,1,gzip,104857600,136.29545974731445,110.62536120414734,17.828941583633423,0.08983707427978516,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
average,DS_003.csv,1,gzip,104857600,108.69686818122864,83.34847672780354,17.87497305870056,0.09181475639343262,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
1,DS_003.csv,1,lz4,104857600,118.90722060203552,110.1229522228241,1.0241668224334717,0.13760709762573242,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
2,DS_003.csv,1,lz4,104857600,116.91386342048645,108.19447302818298,1.024657964706421,0.09447693824768066,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
3,DS_003.csv,1,lz4,104857600,113.37475419044495,104.23233366012573,1.0318307876586914,0.14286351203918457,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
average,DS_003.csv,1,lz4,104857600,116.39861273765564,107.51658630371094,1.026885191599528,0.12498251597086588,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
1,DS_003.csv,2,None,104857600,187.65333604812622,0,0,0,0.18314671516418457,0.09313273429870605,0.09157335758209229,347.6017487049103,179.69754099845886,173.80087435245514,0,0,0.0,4.557138681411743,3.278987407684326,2.2785693407058716,488086980,488086980
2,DS_003.csv,2,None,104857600,190.8276925086975,0,0,0,0.20163917541503906,0.11315035820007324,0.10081958770751953,346.77849292755127,184.3111367225647,173.38924646377563,0,0,0.0,4.92003870010376,3.3146865367889404,2.46001935005188,488086980,488086980
3,DS_003.csv,2,None,104857600,195.0050778388977,0,0,0,0.19777631759643555,0.11180472373962402,0.09888815879821777,336.7632899284363,186.3163447380066,168.38164496421814,0,0,0.0,4.999710321426392,3.389113187789917,2.499855160713196,488086980,488086980
average,DS_003.csv,2,None,104857600,191.16203546524048,0,0,0,0.19418740272521973,0.10602927207946777,0.09709370136260986,343.71451052029926,183.44167415301004,171.85725526014963,0.0,0.0,0.0,4.825629234313965,3.3275957107543945,2.4128146171569824,488086980,488086980
1,DS_003.csv,2,gzip,104857600,83.93446016311646,0,0,0,0.20006656646728516,0.1119990348815918,0.10003328323364258,124.96323657035828,67.49283504486084,62.48161828517914,18.656939268112183,9.568795919418335,9.328469634056091,3.4470927715301514,2.1265738010406494,1.7235463857650757,488086980,179511638
2,DS_003.csv,2,gzip,104857600,86.49296069145203,0,0,0,0.2313554286956787,0.14180946350097656,0.11567771434783936,133.84841299057007,69.22252631187439,66.92420649528503,18.958443880081177,9.637832164764404,9.479221940040588,3.629565477371216,2.238790512084961,1.814782738685608,488086980,179511638
3,DS_003.csv,2,gzip,104857600,130.54358053207397,0,0,0,0.22386479377746582,0.1371753215789795,0.11193239688873291,169.23417234420776,112.60909652709961,84.61708617210388,19.07698678970337,9.554310083389282,9.538493394851685,4.592612266540527,3.2372076511383057,2.2963061332702637,488086980,179511638
average,DS_003.csv,2,gzip,104857600,100.32366712888083,0,0,0,0.21842892964680988,0.13032793998718262,0.10921446482340494,142.68194063504535,83.10815262794495,71.34097031752268,18.897456645965576,9.586979389190674,9.448728322982788,3.889756838480631,2.5341906547546387,1.9448784192403155,488086980,179511638
1,DS_003.csv,2,lz4,104857600,108.09792685508728,0,0,0,0.24979233741760254,0.1323099136352539,0.12489616870880127,183.23616695404053,99.43694853782654,91.61808347702026,1.0626485347747803,0.5362348556518555,0.5313242673873901,4.668683767318726,3.3728814125061035,2.334341883659363,488086980,272526329
2,DS_003.csv,2,lz4,104857600,107.86778593063354,0,0,0,0.21514630317687988,0.1280059814453125,0.10757315158843994,166.0878677368164,99.23037505149841,83.0439338684082,1.0518970489501953,0.5289020538330078,0.5259485244750977,4.734378814697266,3.418473482131958,2.367189407348633,488086980,272526329
3,DS_003.csv,2,lz4,104857600,109.30432939529419,0,0,0,0.20487427711486816,0.11285758018493652,0.10243713855743408,174.90393614768982,100.3511106967926,87.45196807384491,1.075118064880371,0.550309419631958,0.5375590324401855,4.839541912078857,3.502384901046753,2.4197709560394287,488086980,272526329
average,DS_003.csv,2,lz4,104857600,108.42334739367166,0,0,0,0.2232709725697835,0.12439115842183432,0.11163548628489176,174.74265694618225,99.67281142870584,87.37132847309113,1.0632212162017822,0.5384821097056071,0.5316106081008911,4.747534831364949,3.4312465985616045,2.3737674156824746,488086980,272526329
1,DS_003.csv,3,None,104857600,180.07717418670654,0,0,0,0.31652235984802246,0.11173391342163086,0.10550745328267415,509.5787489414215,174.3525834083557,169.85958298047385,0,0,0.0,7.161086797714233,3.4049460887908936,2.387028932571411,488086980,488086980
