Experiment Number,file,stream,compressionType,limit,totalTransferTime,TotalClearTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
1,DS_003.csv,1,None,104857600,202.95772743225098,1.3884806632995605,195.4813356399536,0,0.09196186065673828,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
2,DS_003.csv,1,None,104857600,199.03909635543823,1.4728155136108398,191.37355709075928,0,0.10819315910339355,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
3,DS_003.csv,1,None,104857600,194.59472966194153,1.5027313232421875,186.54764199256897,0,0.0843808650970459,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
4,DS_003.csv,1,None,104857600,200.99294686317444,1.327831745147705,193.36121082305908,0,0.092498779296875,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
5,DS_003.csv,1,None,104857600,197.14440274238586,1.6099274158477783,189.26763558387756,0,0.09191656112670898,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
average,DS_003.csv,1,None,104857600,198.9457806110382,1.4603573322296142,191.2062762260437,0.0,0.09379024505615234,0,0,0,0,0,0,0,0,0,0,0,0,488086980,488086980
1,DS_003.csv,1,gzip,104857600,95.31675267219543,1.5146982669830322,69.50071024894714,17.68277645111084,0.13008785247802734,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
2,DS_003.csv,1,gzip,104857600,101.62541055679321,1.2227458953857422,75.62614107131958,17.618022680282593,0.14101791381835938,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
3,DS_003.csv,1,gzip,104857600,95.12006139755249,1.2430646419525146,69.69796681404114,17.862672567367554,0.08839893341064453,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
4,DS_003.csv,1,gzip,104857600,98.54737710952759,1.3376502990722656,73.46001482009888,17.543428421020508,0.08987736701965332,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
5,DS_003.csv,1,gzip,104857600,93.6267237663269,1.2672462463378906,68.50216555595398,17.464420557022095,0.12054038047790527,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
average,DS_003.csv,1,gzip,104857600,96.84726510047912,1.317081069946289,71.35739970207214,17.63426413536072,0.11398448944091796,0,0,0,0,0,0,0,0,0,0,0,0,488086980,179510694
1,DS_003.csv,1,lz4,104857600,161.3399007320404,1.2943294048309326,153.70215892791748,1.0224134922027588,0.09042143821716309,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
2,DS_003.csv,1,lz4,104857600,146.2476840019226,1.277132272720337,137.60219526290894,1.0244224071502686,0.08947324752807617,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
3,DS_003.csv,1,lz4,104857600,113.86400270462036,1.2278037071228027,105.00952434539795,1.0161221027374268,0.11568498611450195,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
4,DS_003.csv,1,lz4,104857600,113.31470823287964,1.2782995700836182,104.33043622970581,1.0176827907562256,0.1320512294769287,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
5,DS_003.csv,1,lz4,104857600,112.05547332763672,1.2732634544372559,103.70728707313538,1.0243406295776367,0.11795997619628906,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
average,DS_003.csv,1,lz4,104857600,129.36435379981992,1.270165681838989,120.87032036781311,1.0209962844848632,0.10911817550659181,0,0,0,0,0,0,0,0,0,0,0,0,488086980,272526752
