Experiment Number,file,stream,compressionType,limit,totalTransferTime,dataTransferTime,compressionTime,totalReadingFileTime,sizeOnLocalMachine,sizeOnTargetMachine
1,DS_003.csv,1,None,104857600,203.60903525352478,195.0729856491089,0,0.12128448486328125,488086980,488086980
2,DS_003.csv,1,None,104857600,203.44274711608887,195.858332157135,0,0.08541440963745117,488086980,488086980
3,DS_003.csv,1,None,104857600,208.26401615142822,199.1320641040802,0,0.09593892097473145,488086980,488086980
4,DS_003.csv,1,None,104857600,211.6919960975647,203.20695853233337,0,0.08750653266906738,488086980,488086980
5,DS_003.csv,1,None,104857600,202.2368679046631,194.1807677745819,0,0.1381826400756836,488086980,488086980
6,DS_003.csv,1,None,104857600,204.19321990013123,195.43129777908325,0,0.0794532299041748,488086980,488086980
7,DS_003.csv,1,None,104857600,200.83937096595764,192.3928623199463,0,0.15529274940490723,488086980,488086980
8,DS_003.csv,1,None,104857600,202.53195476531982,193.17800211906433,0,0.1341722011566162,488086980,488086980
9,DS_003.csv,1,None,104857600,202.86059880256653,193.9924600124359,0,0.08493304252624512,488086980,488086980
10,DS_003.csv,1,None,104857600,201.99309396743774,194.2187156677246,0,0.15487337112426758,488086980,488086980
11,DS_003.csv,1,None,104857600,206.36716961860657,197.64559531211853,0,0.08803510665893555,488086980,488086980
12,DS_003.csv,1,None,104857600,208.40396308898926,201.16679573059082,0,0.09475350379943848,488086980,488086980
13,DS_003.csv,1,None,104857600,203.76750683784485,194.87017798423767,0,0.08019518852233887,488086980,488086980
14,DS_003.csv,1,None,104857600,203.0892312526703,195.00188183784485,0,0.10368657112121582,488086980,488086980
15,DS_003.csv,1,None,104857600,220.5080943107605,211.2782642841339,0,0.0901803970336914,488086980,488086980
16,DS_003.csv,1,None,104857600,235.11218810081482,225.474369764328,0,0.08890318870544434,488086980,488086980
17,DS_003.csv,1,None,104857600,235.0012185573578,225.58251762390137,0,0.12749338150024414,488086980,488086980
18,DS_003.csv,1,None,104857600,268.5072479248047,259.7363877296448,0,0.08646607398986816,488086980,488086980
19,DS_003.csv,1,None,104857600,231.81017351150513,223.62222146987915,0,0.09911203384399414,488086980,488086980
20,DS_003.csv,1,None,104857600,228.87172651290894,220.4231367111206,0,0.0956265926361084,488086980,488086980
21,DS_003.csv,1,None,104857600,227.88292598724365,219.14316821098328,0,0.13857531547546387,488086980,488086980
22,DS_003.csv,1,None,104857600,220.21207547187805,211.24307680130005,0,0.08082962036132812,488086980,488086980
23,DS_003.csv,1,None,104857600,206.53607153892517,197.46690893173218,0,0.08691954612731934,488086980,488086980
24,DS_003.csv,1,None,104857600,201.86685848236084,194.83275198936462,0,0.11650824546813965,488086980,488086980
25,DS_003.csv,1,None,104857600,247.4585440158844,238.74698328971863,0,0.11983156204223633,488086980,488086980
26,DS_003.csv,1,None,104857600,207.51109147071838,199.3012239933014,0,0.08770275115966797,488086980,488086980
27,DS_003.csv,1,None,104857600,204.62123847007751,196.62691831588745,0,0.08162689208984375,488086980,488086980
28,DS_003.csv,1,None,104857600,207.76236248016357,199.3792598247528,0,0.08655762672424316,488086980,488086980
29,DS_003.csv,1,None,104857600,211.39984393119812,202.66415214538574,0,0.0878903865814209,488086980,488086980
30,DS_003.csv,1,None,104857600,211.67679977416992,204.06918811798096,0,0.1414506435394287,488086980,488086980
average,DS_003.csv,1,None,104857600,214.33430774211885,205.8313142061234,0.0,0.10397987365722657,488086980,488086980
1,DS_003.csv,1,gzip,104857600,100.24872756004333,75.7114610671997,16.52939510345459,0.14132404327392578,488086980,179510694
2,DS_003.csv,1,gzip,104857600,96.5143654346466,72.34815812110901,16.737979650497437,0.08862495422363281,488086980,179510694
3,DS_003.csv,1,gzip,104857600,96.33326172828674,71.62979125976562,16.672422647476196,0.13688182830810547,488086980,179510694
4,DS_003.csv,1,gzip,104857600,97.02279686927795,71.91853952407837,16.669439554214478,0.12163996696472168,488086980,179510694
5,DS_003.csv,1,gzip,104857600,96.93336009979248,71.83017349243164,16.592318773269653,0.09723067283630371,488086980,179510694
